,Odour,OdourCS,Experiment,Fly ID,file,Time_s,calcium_zscore,TrainingOdour,OdourOnset,TimeFromOdourOnset_s
76,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,20.24102803116053,-0.7692192866754592,OCT,9.0,11.241028031160528
77,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,20.50735734736001,-0.5082442453347205,OCT,9.0,11.50735734736001
78,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,20.77368666355949,0.0218312577569616,OCT,9.0,11.773686663559491
79,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,21.040015979758973,0.1968403127459607,OCT,9.0,12.040015979758971
80,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,21.30634529595845,0.9399076052885404,OCT,9.0,12.306345295958453
81,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,21.572674612157932,1.3913732718673062,OCT,9.0,12.572674612157932
82,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,21.839003928357418,1.5077254457885645,OCT,9.0,12.839003928357414
83,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,22.105333244556896,1.7430741612202,OCT,9.0,13.105333244556896
84,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,22.371662560756373,1.640665016405208,OCT,9.0,13.371662560756372
85,,,pre,057_MDN1-GCaMP7b,/Volumes/ukme23/Projects/Moonwalker_Valence/rawdata/FA_favourite/After continous air pressure/Experimental group/057_MDN1-GCaMP7b/20251222_Exp 2_pre_8x.csv,22.637991876955855,1.704610632651188,OCT,9.0,13.637991876955857
